,Tool,total counts unc,total counts corr,hg in hg unc,hg in hg corr,mm in mm unc,mm in mm corr,mm in hg unc,mm in hg corr,hg in mm unc,hg in mm corr,mix hg unc,mix hg corr,mix mm unc,mix mm corr,removed counts,true ambient counts unc,true ambient counts corr,removed true ambient,pct removed true ambient,pct removed counts,removed counts (Mio),removed true ambient (Mio),mm in mm expected,hg in hg expected,sweet spot,human in human expected,human in human observed,mouse in mouse expected,mouse in mouse observed,hg in mm removed,mm in hg removed
0,Uncorrected,291402848,291402848,162733280,162733280,123842592,123842592,1526240,1526240,3300745,3300745,0,0,0,0,0,4826985,4826985,0,0.0,0.0,0.0,0.0,1965142.1931409761,3411340.1404509265,10203467.333591903,3.4113401404509265,0.0,1.965142193140976,0.0,0.0,0.0
1,DecontX,291402848,286444000,162733280,160097904,123842592,123473440,1526240,594673,3300745,2278007,0,0,0,0,4958848,4826985,2872680,1954305,40.487074229565664,1.7017156949680878,4.958848,1.954305,1965142.1931409761,3411340.1404509265,10203467.333591903,3.4113401404509265,2.635376,1.965142193140976,0.369152,30.985065492790266,61.03673078939092
2,SoupX,291402848,280357408,162733280,157956064,123842592,121640224,1526240,66613,3300745,694507,0,0,0,0,11045440,4826985,761120,4065865,84.2319791754066,3.790436529982027,11.04544,4.065865,1965142.1931409761,3411340.1404509265,10203467.333591903,3.4113401404509265,4.777216,1.965142193140976,2.202368,78.95908347963869,95.63548327916972
3,scAR,291402848,280560512,162733280,158199808,123842592,122047376,1526240,43692,3300745,269624,0,0,0,0,10842336,4826985,313316,4513669,93.50907450509997,3.7207378288904023,10.842336,4.513669,1965142.1931409761,3411340.1404509265,10203467.333591903,3.4113401404509265,4.533472,1.965142193140976,1.795216,91.83141987642183,97.13727854072754
4,CellBender,290120672,283131360,161959504,160590752,123409376,122189856,1489256,80079,3262560,270662,0,0,0,0,6989312,4751816,350741,4401075,92.618800896331,2.409105132639428,6.989312,4.401075,1990838.1556925124,3380082.480247477,10122736.63593999,3.380082480247477,1.368752,1.9908381556925123,1.21952,91.70399931342259,94.622885521361
5,CellClear,285716736,173440768,155218384,107936360,125188672,64887988,1574643,253863,3735057,362541,0,0,0,0,112275968,5309700,616404,4693296,88.39098254138652,39.2962517953446,112.275968,4.693296,1926799.036934432,3344781.488352725,10581280.525287157,3.3447814883527247,47.282024,1.926799036934432,60.300684,90.29356178500088,83.8780599793096
6,scCDC,291402848,280165632,162733280,158085024,123842592,118236128,1526240,1029305,3300745,2815193,0,0,0,0,11237216,4826985,3844498,982487,20.354051234880572,3.8562478291221094,11.237216,0.982487,1965142.1931409761,3411340.1404509265,10203467.333591903,3.4113401404509265,4.648256,1.965142193140976,5.606464,14.710375990874788,32.55942708879338
