,Tool,total counts unc,total counts corr,hg in hg unc,hg in hg corr,mm in mm unc,mm in mm corr,mm in hg unc,mm in hg corr,hg in mm unc,hg in mm corr,mix hg unc,mix hg corr,mix mm unc,mix mm corr,removed counts,true ambient counts unc,true ambient counts corr,removed true ambient,pct removed true ambient,pct removed counts,removed counts (Mio),removed true ambient (Mio),mm in mm expected,hg in hg expected,sweet spot,human in human expected,human in human observed,mouse in mouse expected,mouse in mouse observed,hg in mm removed,mm in hg removed
0,Uncorrected,148685664,148685664,86505936,86505936,60416536,60416536,638630,638630,1124569,1124569,0,0,0,0,0,1763199,1763199,0,0.0,0.0,0.0,0.0,953609.5475812784,1695559.8427535135,4412368.3903347915,1.6955598427535135,0.0,0.9536095475812784,0.0,0.0,0.0
1,DecontX,148685664,146482384,86505936,85157440,60416536,60312980,638630,195748,1124569,816232,0,0,0,0,2203280,1763199,1011980,751219,42.60545746679757,1.4818375495837985,2.20328,0.751219,953609.5475812784,1695559.8427535135,4412368.3903347915,1.6955598427535135,1.348496,0.9536095475812784,0.103556,27.418237564791486,69.3487621940717
2,SoupX,148685664,145160704,86505936,85025800,60416536,59767804,638630,53989,1124569,313101,0,0,0,0,3524960,1763199,367090,1396109,79.18045552430554,2.370746382112535,3.52496,1.396109,953609.5475812784,1695559.8427535135,4412368.3903347915,1.6955598427535135,1.480136,0.9536095475812784,0.648732,72.15813347157889,91.54612216776538
3,scAR,148685664,143568016,86505936,83480848,60416536,59960856,638630,9365,1124569,116954,0,0,0,0,5117648,1763199,126319,1636880,92.8358058279298,3.441924300112753,5.117648,1.63688,953609.5475812784,1695559.8427535135,4412368.3903347915,1.6955598427535135,3.025088,0.9536095475812784,0.45568,89.60010457339656,98.53357969403254
4,CellBender,148185568,145828480,86496688,86070000,59941924,59588036,638319,48548,1108640,121899,0,0,0,0,2357088,1746959,170447,1576512,90.24321692724328,1.590632631647368,2.357088,1.576512,953001.3632821059,1711770.1125538175,4411730.475835923,1.7117701125538174,0.426688,0.9530013632821059,0.353888,89.00463631115602,92.39439841207923
5,CellClear,146950800,87493736,83051232,58959368,62008144,28274584,622544,133898,1268890,125887,0,0,0,0,59457064,1891434,259785,1631649,86.26518292470158,40.460524202658306,59.457064,1.631649,984407.7043794721,2350906.63014058,5226748.334520051,2.35090663014058,24.091864,0.9844077043794721,33.73356,90.0789666558961,78.4918013827135
6,scCDC,148685664,142787856,86505936,84545144,60416536,56765160,638630,422864,1124569,1054682,0,0,0,0,5897808,1763199,1477546,285653,16.20083722824253,3.9666285513578496,5.897808,0.285653,953609.5475812784,1695559.8427535135,4412368.3903347915,1.6955598427535135,1.960792,0.9536095475812784,3.651376,6.21455864424504,33.78576014280569
