,Tool,total counts unc,total counts corr,hg in hg unc,hg in hg corr,mm in mm unc,mm in mm corr,mm in hg unc,mm in hg corr,hg in mm unc,hg in mm corr,mix hg unc,mix hg corr,mix mm unc,mix mm corr,removed counts,true ambient counts unc,true ambient counts corr,removed true ambient,pct removed true ambient,pct removed counts,removed counts (Mio),removed true ambient (Mio),mm in mm expected,hg in hg expected,sweet spot,human in human expected,human in human observed,mouse in mouse expected,mouse in mouse observed,hg in mm removed,mm in hg removed
0,Uncorrected,407045312,407045312,216724992,216724992,184917904,184917904,2083337,2083337,3319075,3319075,0,0,0,0,0,5402412,5402412,0,0.0,0.0,0.0,0.0,2559075.524298361,4110791.894618307,12072279.418916667,4.110791894618306,0.0,2.559075524298361,0.0,0.0,0.0
1,DecontX,413035456,402977856,217287296,212571136,190241376,189206752,2100071,209000,3406722,990986,0,0,0,0,10057600,5506793,1199986,4306807,78.20898660981082,2.4350451889534637,10.0576,4.306807,2596733.6687176046,4171284.176065833,12274810.844783437,4.171284176065833,4.71616,2.596733668717605,1.034624,70.91086387442239,90.0479555215038
2,SoupX,406447744,399953696,216688320,214727136,184362576,182958352,2087549,549619,3309297,1718603,0,0,0,0,6494048,5396846,2268222,3128624,57.97134103882156,1.597757176873394,6.494048,3.128624,2555318.8029166516,4104757.273140086,12056922.076056737,4.104757273140086,1.961184,2.5553188029166516,1.404224,48.067429426854105,73.67156411657882
3,scAR,413035456,401582176,217287296,214093984,190241376,187236192,2100071,229740,3406722,22270,0,0,0,0,11453280,5506793,252010,5254783,95.42365220555776,2.7729532255942697,11.45328,5.254783,2596733.6687176046,4171284.176065833,12274810.844783437,4.171284176065833,3.193312,2.596733668717605,3.005184,99.34629241834232,89.06036986368557
4,CellBender,406372096,397383936,216658784,214612144,184345072,182499200,2082990,172632,3285257,99965,0,0,0,0,8988160,5368247,272597,5095650,94.92204810993235,2.211805409001311,8.98816,5.09565,2553732.7921126443,4022816.8210715,11944796.613184145,4.0228168210715,2.04664,2.5537327921126445,1.845872,96.95716347305553,91.71229818674117
5,CellClear,413021952,269833216,218550080,173165312,188938464,95266896,2132477,398852,3400895,1002159,0,0,0,0,143188736,5533372,1401011,4132361,74.68070102642656,34.66855340415417,143.188736,4.132361,2576959.216976689,4375433.834114043,12485765.051090732,4.375433834114043,45.384768,2.576959216976689,93.671568,70.53249218220498,81.29630471981643
6,scCDC,407078688,394994624,216755520,211299584,184918400,180158240,2083858,1236079,3320915,2300703,0,0,0,0,12084064,5404773,3536782,1867991,34.56187706680743,2.968483577307786,12.084064,1.867991,2559285.348674559,4111128.9466800923,12075187.295354651,4.111128946680092,5.455936,2.559285348674559,4.76016,30.720810379067213,40.6831463564216
