,Tool,total counts unc,total counts corr,hg in hg unc,hg in hg corr,mm in mm unc,mm in mm corr,mm in hg unc,mm in hg corr,hg in mm unc,hg in mm corr,mix hg unc,mix hg corr,mix mm unc,mix mm corr,removed counts,true ambient counts unc,true ambient counts corr,removed true ambient,pct removed true ambient,pct removed counts,removed counts (Mio),removed true ambient (Mio),mm in mm expected,hg in hg expected,sweet spot,human in human expected,human in human observed,mouse in mouse expected,mouse in mouse observed,hg in mm removed,mm in hg removed
0,Uncorrected,61909712,61909712,34323016,34323016,27457922,27457922,72531,72531,56245,56245,0,0,0,0,0,128776,128776,0,0.0,0.0,0.0,0.0,103466.2789707016,95103.72946104288,327346.0084317445,0.09510372946104288,0.0,0.10346627897070161,0.0,0.0,0.0
1,DecontX,61909712,61691096,34323016,34306056,27457922,27345036,72531,28129,56245,11881,0,0,0,0,218616,128776,40010,88766,68.93054606448406,0.35312068646030853,0.218616,0.088766,103466.2789707016,95103.72946104288,327346.0084317445,0.09510372946104288,0.01696,0.10346627897070161,0.112886,78.87634456396124,61.21796197487971
2,SoupX,61973864,61355916,34323016,34041624,27521962,27300228,72531,10255,56356,3807,0,0,0,0,617948,128887,14062,114825,89.08966769340584,0.9971106529681609,0.617948,0.114825,103573.4648892952,95202.24776699136,327662.71265628655,0.09520224776699136,0.281392,0.1035734648892952,0.221734,93.24472993115197,85.86121796197487
3,scAR,62042360,61785784,34323016,34217484,27590320,27567668,72531,68,56494,560,0,0,0,0,256576,129025,628,128397,99.51327262158497,0.4135497102302362,0.256576,0.128397,103687.908814348,95307.4371591264,328020.3459734744,0.0953074371591264,0.105532,0.103687908814348,0.022652,99.00874429142917,99.9062469840482
4,CellBender,61960200,61520484,34383064,34242080,27448188,27269702,72755,6745,56193,1956,0,0,0,0,439716,128948,8701,120247,93.252318764153,0.709674920352097,0.439716,0.120247,105359.5022,92969.7087,327277.2109,0.0929697087,0.140984,0.1053595022,0.178486,96.51913939458652,90.7291595079376
5,CellClear,48623840,30218864,30765680,18838952,17757314,11364946,64576,4088,36271,10879,0,0,0,0,18404976,100847,14967,85880,85.15870576219422,37.8517533785896,18.404976,0.08588,78135.7939768616,74788.16102673199,253770.95500359358,0.074788161026732,11.926728,0.0781357939768616,6.392368,70.00634115409005,93.66947472745292
6,scCDC,61978208,60802679,34323016,33374521,27526280,27307239,72531,70565,56383,50354,0,0,0,0,1175529,128914,120919,7995,6.2018089579099245,1.896681168968293,1.175529,0.007995,103580.7228957544,95208.91885317792,327703.6417489323,0.09520891885317792,0.948495,0.1035807228957544,0.219041,10.69293936115496,2.710565137665274
