,Tool,Zelltyp,Marker,Anzahl Zellen,Marker in cells unc,Marker in cells corr,Marker counts unc,Marker counts corr,Cell counts unc,Cell counts corr,Entfernte_Marker_Counts,Entfernte_Marker_Counts_total,Entfernte % true Marker,Entfernt_%_vom_Marker,Entfernte_Zellen,Entfernt_%_Zellen,Entfernte % Marker pro Counts,ratio unc,ratio corr,change,log2fold
11,scAR,B cells,MS4A1 (high),2384,22596,20284,26163,21451,13749883,11179764,2312,4712,49.06621392190153,18.010167029774873,2570119,18.69193359681679,0.1833378143191035,6.334735071488646,17.381319622964867,2.7438116080330888,1.4561814284907144
12,scAR,NK cells,KLRF1 (high),7027,12726,11721,15484,13468,25417224,20196176,1005,2016,49.851190476190474,13.01989150090416,5221048,20.541377768083564,0.038612937479218734,4.614213197969543,6.709215798511734,1.4540324667841713,0.5400594832503389
13,scAR,Monocytes/NK cells,FCGR3A (moderate),75807,102358,99266,125948,125807,202450304,162926688,3092,141,2192.9078014184397,0.1119509638898593,39523616,19.52262615520696,0.0003567487347311541,4.339041966935142,3.740100222297577,0.86196451908009,-0.2142996097965516
14,scAR,Monocytes,CD14 (high),68780,87006,77125,108929,101246,177033056,142730496,9881,7683,128.6086164258753,7.053218151272847,34302560,19.376358729298556,0.022397745241171503,3.9687086621356564,3.1974213341072093,0.8056578616145134,-0.3117607947767319
15,scAR,B/T cells,CCR7 (moderate),30776,46852,38150,53095,41538,125283944,102608136,8702,11557,75.29635718612097,21.76664469347396,22675808,18.09953237104349,0.05096621033305627,7.504725292327406,11.260330578512397,1.5004320797757384,0.5853780137789167
16,scAR,MAIT cells,SLC4A10 (high),0,0,0,1773,3,0,0,0,1770,0.0,99.83079526226734,0,,inf,0.0,0.0,,
17,scAR,DC/pDC,IL3RA (moderate),701,1041,1149,9878,6165,6321051,5052159,-108,3713,-2.90869916509561,37.58858068434906,1268892,20.07406679680325,0.29261749620929123,0.1178001584248048,0.229066985645933,1.944538858936705,0.9594280653378799
18,scAR,DC,CD1C (high),353,2326,1740,3730,2662,3747439,3061496,586,1068,54.8689138576779,28.632707774798927,685943,18.304313959480062,0.15569806820683352,1.6566951566951567,1.8872017353579176,1.1391363871206004,0.18794048913809513
19,scAR,HSC/MPP,CD34 (high),48,142,0,224,5,470956,354965,142,219,64.84018264840182,97.76785714285714,115991,24.628840061491942,0.18880775232561145,1.7317073170731707,0.0,0.0,-inf
20,DecontX,all cells,PTPRC (broad),121114,781630,735969,781630,735969,383422208,352347168,45661,45661,100.0,5.841766564742909,31075040,8.104653134750087,0.14693786395769726,inf,inf,,
21,DecontX,B cells,MS4A1 (high),1411,15063,14435,25593,18516,5263355,4764332,628,7077,8.87381658895012,27.652092369007153,499023,9.481081933481592,1.4181711063417919,1.4304843304843304,3.537123254104386,2.472675288170961,1.3060727973893025
22,DecontX,NK cells,KLRF1 (high),6656,12237,11894,14590,13786,23813112,21070784,343,804,42.66169154228855,5.5106237148732005,2742328,11.516042086393412,0.029318155960920793,5.200594985125372,6.2864693446088795,1.2087981014844074,0.27357329974742683
23,DecontX,Monocytes/NK cells,FCGR3A (moderate),69159,98408,91492,122945,113956,180158704,167226912,6916,8989,76.93848036489042,7.3113994062385625,12931792,7.17800012593341,0.06951086129439756,4.010596242409423,4.072827635327635,1.0155167434358403,0.022214026411730693
24,DecontX,Monocytes,CD14 (high),62503,82803,80593,107390,102179,156345584,146156112,2210,5211,42.41028593360199,4.852407114256448,10189472,6.517275217699785,0.05114102084975552,3.367755317850897,3.733577318632447,1.108624875103752,0.1487712840041738
25,DecontX,B/T cells,CCR7 (moderate),30977,47915,46612,50504,47023,127034000,117117704,1303,3481,37.43177247917265,6.892523364485981,9916296,7.806017286710644,0.03510383312478772,18.50714561606798,113.41119221411192,6.127967789676213,2.6154087140715316
26,DecontX,MAIT cells,SLC4A10 (high),661,752,718,1670,1407,2757559,2637439,34,263,12.927756653992395,15.748502994011975,120120,4.3560264712377865,0.21894771894771897,0.8191721132897604,1.042089985486212,1.2721258067504555,0.34724135285493063
27,DecontX,DC/pDC,IL3RA (moderate),665,1021,945,9798,8348,5850010,4530257,76,1450,5.241379310344827,14.798938558889569,1319753,22.55984177804824,0.1098690436771123,0.11632676313091034,0.1276509523166284,1.097348098416305,0.134021246978242
28,DecontX,DC,CD1C (high),320,1698,1288,3709,2277,3307251,2283414,410,1432,28.631284916201118,38.60878943111351,1023837,30.957341913268756,0.13986601382837308,0.8443560417702636,1.302325581395349,1.5423891308516176,0.6251667901078196
29,DecontX,HSC/MPP,CD34 (high),57,160,159,210,191,530192,460595,1,19,5.263157894736842,9.047619047619047,69597,13.126754081540273,0.027300027300027303,3.2,4.96875,1.552734375,0.6348110501717177
30,SoupX,all cells,PTPRC (broad),120632,777539,762009,777539,762009,381176960,373569056,15530,15530,100.0,1.9973274652461164,7607904,1.995898178106043,0.204129810260487,inf,inf,,
31,SoupX,B cells,MS4A1 (high),2490,23499,23467,25267,24777,14527979,14238183,32,490,6.530612244897959,1.9392883998891834,289796,1.994744072799114,0.16908445941282835,13.291289592760181,17.913740458015265,1.34778046426533,0.4305855195840714
32,SoupX,NK cells,KLRF1 (high),6703,12254,12228,14476,14188,23570200,23098256,26,288,9.027777777777777,1.9894998618402875,471944,2.0022910285020914,0.06102418931059618,5.514851485148514,6.238775510204082,1.1312680907192323,0.17794086329616274
33,SoupX,Monocytes/NK cells,FCGR3A (moderate),70096,98077,96811,122275,119834,180479168,176879040,1266,2441,51.86399016796395,1.9963197710079736,3600128,1.994760968756239,0.0678031447770746,4.053103562277874,4.204968944099379,1.03746891227624,0.0530681067951186
34,SoupX,Monocytes,CD14 (high),63393,81504,80678,106054,104006,156908976,153780752,826,2048,40.33203125,1.9310917079978125,3128224,1.9936552259444993,0.06546845750176458,3.319918533604888,3.4584190672153636,1.0417180518764375,0.058964855158097025
35,SoupX,B/T cells,CCR7 (moderate),30814,47779,47420,50330,49355,126855264,124325952,359,975,36.82051282051282,1.937214385058613,2529312,1.9938565576592866,0.03854803203400767,18.72951783614269,24.506459948320412,1.3084405142042606,0.38784833645067324
