Dataset,Tool,Cell_Type,Uncorrected,Corrected,Change_Type,Pct_Change
WBC,scAR,T cells,27211,25705,Changed (>5%),-5.5345264782624675
WBC,scAR,NK cells,5491,5846,Changed (>5%),6.465124749590238
WBC,scAR,Macrophages,4423,6595,Changed (>5%),49.10694099027809
WBC,scAR,B cells,1870,1808,Stable,-3.3155080213903747
WBC,scAR,Mast cells,315,217,Changed (>5%),-31.11111111111111
WBC,scAR,pDC,294,274,Changed (>5%),-6.802721088435375
WBC,scAR,DC,147,113,Changed (>5%),-23.12925170068027
WBC,scAR,HSC/MPP,55,2,Changed (>5%),-96.36363636363636
WBC,scAR,Platelets,0,73,Gain,7300.0
WBC,scAR,Plasma cells,12,0,Loss,-100.0
WBC,scAR,Thymocytes,0,0,Stable,0.0
WBC,scAR,Granulocytes,0,143,Gain,14300.0
WBC,scAR,Total_Confident,93022,100757,Changed (>5%),8.315237255702952
WBC,CellBender,Monocytes,53204,49011,Changed (>5%),-7.880986392000601
WBC,CellBender,T cells,27211,26332,Stable,-3.2303112711770976
WBC,CellBender,NK cells,5491,5168,Changed (>5%),-5.88235294117647
WBC,CellBender,Macrophages,4423,10756,Changed (>5%),143.18335971060364
WBC,CellBender,B cells,1870,1672,Changed (>5%),-10.588235294117647
WBC,CellBender,Mast cells,315,382,Changed (>5%),21.26984126984127
WBC,CellBender,pDC,294,306,Stable,4.081632653061225
WBC,CellBender,DC,147,203,Changed (>5%),38.095238095238095
WBC,CellBender,HSC/MPP,55,55,Stable,0.0
WBC,CellBender,Platelets,0,38,Gain,3800.0
WBC,CellBender,Plasma cells,12,35,Changed (>5%),191.66666666666669
WBC,CellBender,Thymocytes,0,10,Gain,1000.0
WBC,CellBender,Granulocytes,0,0,Stable,0.0
WBC,CellBender,Total_Confident,93022,93968,Stable,1.0169637290103415
WBC,DecontX°,Monocytes,53204,53145,Stable,-0.11089391775054507
WBC,DecontX°,T cells,27211,28974,Changed (>5%),6.478997464260777
WBC,DecontX°,NK cells,5491,5788,Changed (>5%),5.408850846840283
WBC,DecontX°,Macrophages,4423,5167,Changed (>5%),16.82116210716708
WBC,DecontX°,B cells,1870,1697,Changed (>5%),-9.251336898395722
WBC,DecontX°,Mast cells,315,338,Changed (>5%),7.301587301587302
WBC,DecontX°,pDC,294,300,Stable,2.0408163265306123
WBC,DecontX°,DC,147,160,Changed (>5%),8.843537414965986
WBC,DecontX°,HSC/MPP,55,51,Changed (>5%),-7.2727272727272725
WBC,DecontX°,Platelets,0,29,Gain,2900.0
WBC,DecontX°,Plasma cells,12,12,Stable,0.0
WBC,DecontX°,Thymocytes,0,0,Stable,0.0
WBC,DecontX°,Granulocytes,0,0,Stable,0.0
WBC,DecontX°,Total_Confident,93022,95661,Stable,2.8369632990045366
WBC,scCDC,Monocytes,53204,55660,Stable,4.616194271107435
WBC,scCDC,T cells,27211,26544,Stable,-2.451214582338025
WBC,scCDC,NK cells,5491,5302,Stable,-3.4419959934438173
WBC,scCDC,Macrophages,4423,6707,Changed (>5%),51.639158941894635
WBC,scCDC,B cells,1870,1935,Stable,3.4759358288770055
WBC,scCDC,Mast cells,315,386,Changed (>5%),22.53968253968254
WBC,scCDC,pDC,294,294,Stable,0.0
WBC,scCDC,DC,147,215,Changed (>5%),46.25850340136054
WBC,scCDC,HSC/MPP,55,58,Changed (>5%),5.454545454545454
WBC,scCDC,Platelets,0,0,Stable,0.0
WBC,scCDC,Plasma cells,12,12,Stable,0.0
WBC,scCDC,Thymocytes,0,0,Stable,0.0
WBC,scCDC,Granulocytes,0,0,Stable,0.0
WBC,scCDC,Total_Confident,93022,97113,Stable,4.397884371439014
PFC,DecontX,Oligodendrocytes,16623,18187,Changed (>5%),9.408650664741623
PFC,DecontX,Astrocytes,11922,13420,Changed (>5%),12.56500587149807
PFC,DecontX,OPCs,11532,12159,Changed (>5%),5.437044745057232
PFC,DecontX,Excitatory neurons,11099,11774,Changed (>5%),6.081628975583386
PFC,DecontX,Inhibitory Interneurons,10164,10912,Changed (>5%),7.35930735930736
PFC,DecontX,Microglia,4037,5055,Changed (>5%),25.21674510775328
PFC,DecontX,Endothelial cells,1004,1723,Changed (>5%),71.61354581673307
PFC,DecontX,VLMCs,563,632,Changed (>5%),12.25577264653641
PFC,DecontX,COP,548,613,Changed (>5%),11.861313868613138
PFC,DecontX,Pericytes,268,272,Stable,1.4925373134328357
PFC,DecontX,T cells,159,169,Changed (>5%),6.289308176100629
PFC,DecontX,Macrophages,141,167,Changed (>5%),18.439716312056735
PFC,DecontX,Total_Confident,68060,75083,Changed (>5%),10.318836320893329
PFC,SoupX,Oligodendrocytes,16623,17105,Stable,2.8995969439932625
PFC,SoupX,Astrocytes,11922,12348,Stable,3.5732259687971815
PFC,SoupX,OPCs,11532,11489,Stable,-0.37287547693374956
PFC,SoupX,Excitatory neurons,11099,11438,Stable,3.0543292188485447
PFC,SoupX,Inhibitory Interneurons,10164,10452,Stable,2.833530106257379
PFC,SoupX,Microglia,4037,4200,Stable,4.037651721575427
